,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,
1,Africa Eastern and Southern,AFE,CO2 emissions (kt),EN.ATM.CO2E.KT,355937.086,393139.914,404205.735,426375.362,457593.677,458471.686,465449.748,486211.076,519307.831,501936.088,529668.977,521770.031,543423.017,565438.314,587672.097,574023.674,578507.112,587497.391,590061.52,603054.006
2,Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,760.22,734.838,1033.63,1218.707,1034.607,1552.011,1764.18,1771.41,3564.64,4877.97,7106.15,8928.59,8079.43,5987.05,4879.64,5946.69,5303.53,4782.88,6066.78,6075.23
3,Africa Western and Central,AFW,CO2 emissions (kt),EN.ATM.CO2E.KT,141732.996,149453.38,141648.65,150979.137,150974.4,155282.68,148880.23,142609.18,151363.46,146732.95,165504.74,171784.795,177948.88,193293.14,201660.087,198383.06,206028.42,204742.16,211707.05,220732.65
4,Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,16204.36,15956.0,15689.7,16764.9,17453.7,15811.4,16558.7,16966.5,19275.4,21145.1,22801.6,23865.9,23868.1,26958.8,29629.8,31649.0,29764.9,24247.2,23957.1,25212.9
5,Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,3166.09,3234.2,3761.9,4065.8,4249.3,4033.4,4014.6,4138.3,4084.7,4215.6,4449.7,4852.7,4359.2,4435.8,4820.4,4620.1,4477.1,5144.8,5107.0,4829.2
6,Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,523.952,523.952,531.28,534.944,560.592,575.248,545.936,538.608,538.608,516.624,516.624,490.976,487.312,476.32,461.664,465.328,468.992,465.328,494.64,501.848
7,Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,933754.74,985326.85,1018866.88,1049656.31,1106155.3,1181610.3,1244545.85,1295588.9,1399901.26,1446949.8,1532866.0,1565758.0,1674052.5,1703920.29,1761731.57,1807587.05,1827972.85,1847736.22,1826262.12,1875283.52
8,United Arab Emirates,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,84730.9,97198.1,99147.7,103822.0,110008.8,116455.1,121563.8,131832.9,156045.6,157021.0,162790.1,165601.3,175594.4,184470.2,184764.4,195243.1,201080.8,197036.6,177124.3,188858.6
9,Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,132268.3,125258.1,117465.0,127656.0,141375.9,145992.0,154903.7,162806.1,167225.2,156566.2,167225.0,176638.1,177960.0,183250.4,179598.2,185547.3,183158.1,179323.9,176895.3,168095.3
10,Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,3561.0,3602.0,3118.7,3495.4,3763.8,4460.9,4489.2,5204.4,5685.5,4510.8,4336.6,4937.1,5716.5,5501.5,5479.0,5343.4,5066.7,5371.3,5712.2,6169.6
11,American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,
12,Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,328.8,351.3,389.1,405.9,395.4,406.4,438.7,459.7,476.0,1394.3,490.4,537.5,696.9,473.5,477.2,491.0,501.3,501.2,509.8,516.1
13,Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,339446.6,345645.0,353371.3,352581.1,365808.0,370090.6,375489.1,385746.1,388935.6,395289.3,387536.3,386375.3,386965.7,380278.3,371633.6,377795.2,384991.7,389163.3,387066.7,386526.6
14,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,63532.3,67911.3,69367.9,74461.6,75795.8,76236.6,74099.3,71242.5,70729.7,64416.3,69960.0,68271.5,65107.1,65747.0,62048.9,63238.3,63684.5,65856.3,63061.9,64766.3
15,Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,27687.2,26397.2,26177.6,28569.4,28311.9,30043.5,30488.4,27627.7,30447.6,25495.9,24311.9,27282.1,30110.7,30939.6,32243.4,31773.3,32239.3,31957.0,32728.1,35508.0
16,Burundi,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,256.3,200.3,208.1,164.4,152.8,154.3,178.0,181.6,185.0,182.2,304.7,361.89,366.25,386.52,375.52,401.65,443.65,525.74,685.12,720.72
17,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,117274.6,118339.8,110850.2,115502.1,114022.7,110610.8,108645.6,104587.3,106934.1,99666.1,106722.3,96482.2,95270.0,96586.3,90137.3,95131.8,94222.7,92723.8,93660.3,93008.5
18,Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,1424.5,1735.1,2177.3,2443.2,2646.4,2899.6,3471.4,3998.2,4017.6,4417.2,4825.1,4652.6,4444.7,4676.4,5186.1,5505.6,6739.0,6874.2,7424.1,7300.3
